timestamp x y theta
1769097853.202640 0.000000 0.000000 0.000002
1769097853.252652 0.000000 0.000000 0.000002
1769097853.302641 0.000000 0.000000 0.000004
1769097853.352635 0.000000 0.000000 0.000005
1769097853.402613 0.000000 0.000000 0.000005
1769097853.452659 0.000000 0.000000 0.000003
1769097853.502642 0.000000 0.000000 0.000004
1769097853.552637 0.000000 0.000000 -0.000002
1769097853.602622 0.000000 0.000000 -0.000001
1769097853.652647 0.000000 0.000000 -0.000001
1769097853.702642 0.000000 0.000000 -0.000001
1769097853.752637 0.000000 0.000000 -0.000003
1769097853.802625 0.000000 0.000000 -0.000004
1769097853.852674 0.000000 0.000000 -0.000003
1769097853.902653 0.000000 0.000000 -0.000004
1769097853.952661 0.000000 0.000000 -0.000004
1769097854.002656 0.000000 0.000000 -0.000002
1769097854.052662 0.000000 0.000000 -0.000002
1769097854.102653 0.000000 0.000000 -0.000001
1769097854.152658 0.000000 0.000000 -0.000001
1769097854.202655 0.000000 0.000000 -0.000001
1769097854.252653 0.000000 0.000000 -0.000001
1769097854.302655 0.000000 0.000000 0.000001
1769097854.352649 0.000000 0.000000 0.000000
1769097854.402652 0.000000 0.000000 -0.000000
1769097854.452652 0.000000 0.000000 -0.000001
1769097854.502649 0.000000 0.000000 -0.000002
1769097854.552658 0.000000 0.000000 -0.000001
1769097854.602656 0.000000 0.000000 -0.000001
1769097854.652653 0.000000 0.000000 -0.000003
1769097854.702648 0.000000 0.000000 -0.000005
1769097854.752653 0.000000 0.000000 -0.000004
1769097854.802652 0.000025 -0.000000 -0.000047
1769097854.852657 0.000025 -0.000000 -0.000047
1769097854.902658 -0.000000 0.000000 -0.000003
1769097854.952656 -0.000000 0.000000 -0.000003
1769097855.002650 -0.000000 0.000000 -0.000003
1769097855.052652 -0.000000 0.000000 -0.000003
1769097855.102628 -0.000000 0.000000 -0.000003
1769097855.152625 -0.000000 0.000000 -0.000003
1769097855.202639 -0.000000 0.000000 -0.000004
1769097855.252628 -0.000000 0.000000 -0.000003
1769097855.302718 -0.000000 0.000000 -0.000003
