timestamp x y theta
1769100595.526434 0.000000 0.000000 0.000004
1769100595.651798 0.000000 0.000000 0.000010
1769100595.727145 0.000000 0.000000 0.000011
1769100595.851832 0.000000 0.000000 0.000011
1769100595.927932 0.000000 0.000000 0.000008
1769100596.051804 0.000000 0.000000 0.000008
1769100596.128472 0.000000 0.000000 0.000008
1769100596.251813 0.000000 0.000000 0.000010
1769100596.329261 0.000000 0.000000 0.000011
1769100596.451813 0.000000 0.000000 0.000011
1769100596.529613 0.000000 0.000000 0.000011
1769100596.651819 0.000000 0.000000 0.000013
1769100596.730227 0.000000 0.000000 0.000012
1769100596.851819 0.000000 0.000000 0.000014
1769100596.930877 0.000000 0.000000 0.000014
1769100597.051832 0.000000 0.000000 0.000014
1769100597.131520 0.000000 0.000000 0.000015
1769100597.251822 0.000000 0.000000 0.000015
1769100597.332152 0.000000 0.000000 0.000016
1769100597.451823 0.000000 0.000000 0.000016
1769100597.532836 0.000000 0.000000 0.000017
1769100597.651833 0.000000 0.000000 0.000018
1769100597.733498 0.000000 0.000000 0.000017
1769100597.851834 0.000000 0.000000 0.000018
1769100597.934152 0.000000 0.000000 0.000017
1769100598.051860 0.000000 0.000000 0.000017
1769100598.134750 0.000000 0.000000 0.000018
1769100598.251854 0.000000 0.000000 0.000019
1769100598.335414 0.000000 0.000000 0.000018
1769100598.451849 0.000000 0.000000 0.000018
1769100598.536010 0.000000 0.000000 0.000019
1769100598.651844 0.000000 0.000000 0.000019
1769100598.736683 0.000000 0.000000 0.000020
1769100598.851847 0.000000 0.000000 0.000020
1769100598.937345 0.000000 0.000000 0.000021
1769100599.051841 0.000000 0.000000 0.000023
1769100599.137929 0.000000 0.000000 0.000023
1769100599.251854 0.000000 0.000000 0.000022
1769100599.338612 0.000000 0.000000 0.000023
1769100599.451872 0.000000 0.000000 0.000022
1769100599.539236 0.000000 0.000000 0.000022
1769100599.651864 0.000000 0.000000 0.000022
1769100599.739843 0.000000 0.000000 0.000022
1769100599.851889 0.000000 0.000000 0.000023
1769100599.940468 0.000000 0.000000 0.000022
1769100600.051872 0.000000 0.000000 0.000023
1769100600.141118 0.000000 0.000000 0.000022
1769100600.251872 0.000000 0.000000 0.000022
1769100600.341746 0.000000 0.000000 0.000022
1769100600.451883 0.000000 0.000000 0.000022
1769100600.542394 0.000000 0.000000 0.000022
1769100600.651870 0.000000 0.000000 0.000023
1769100600.743038 0.000000 0.000000 0.000023
1769100600.851882 0.000000 0.000000 0.000023
1769100600.943798 0.000000 0.000000 0.000023
1769100601.051894 0.000000 0.000000 0.000023
1769100601.144417 0.000000 0.000000 0.000024
1769100601.251901 0.000000 0.000000 0.000025
1769100601.345030 0.000000 0.000000 0.000026
1769100601.451883 0.000000 0.000000 0.000027
1769100601.545655 0.000000 0.000000 0.000028
1769100601.651920 0.000000 0.000000 0.000029
1769100601.746258 0.000000 0.000000 0.000029
1769100601.851934 0.000000 0.000000 0.000030
1769100601.946953 0.000000 0.000000 0.000032
1769100602.051921 0.000000 0.000000 0.000033
1769100602.147542 0.000000 0.000000 0.000032
1769100602.251904 0.000000 0.000000 0.000034
1769100602.348180 0.000000 0.000000 0.000034
1769100602.451898 0.000000 0.000000 0.000035
1769100602.548795 0.000000 0.000000 0.000037
1769100602.651889 0.000000 0.000000 0.000038
1769100602.749456 0.000000 0.000000 0.000038
1769100602.851962 0.000000 0.000000 0.000039
1769100602.950091 0.000000 0.000000 0.000039
1769100603.051920 0.000000 0.000000 0.000040
1769100603.150690 0.000000 0.000000 0.000041
1769100603.251907 0.000000 0.000000 0.000042
1769100603.351419 0.000000 0.000000 0.000044
1769100603.451930 0.000000 0.000000 0.000044
1769100603.551936 0.000051 -0.000000 0.000525
1769100603.651933 0.000633 0.000000 0.001222
1769100603.751929 0.001544 0.000002 0.001491
1769100603.851932 0.002227 0.000003 0.001928
1769100603.951929 0.003822 0.000006 0.001267
1769100604.051938 0.006454 0.000010 0.001275
1769100604.151912 0.009314 0.000014 0.000706
1769100604.251910 0.013339 0.000016 0.001271
1769100604.351995 0.017085 0.000020 0.002113
1769100604.451941 0.022299 0.000032 0.001779
1769100604.551917 0.027513 0.000040 0.002007
1769100604.651929 0.033132 0.000050 0.000864
1769100604.752023 0.038093 0.000049 -0.000166
1769100604.851935 0.044446 0.000047 -0.000404
1769100604.951927 0.050824 0.000034 0.000107
1769100605.051940 0.055886 0.000032 -0.000326
1769100605.151923 0.062441 0.000025 -0.000982
1769100605.252000 0.069199 0.000003 -0.000702
1769100605.351939 0.075021 -0.000012 0.000119
1769100605.451944 0.082462 -0.000017 0.000541
1769100605.551925 0.088436 -0.000025 0.001909
1769100605.651973 0.095674 0.000009 0.001800
1769100605.751981 0.103090 0.000011 0.002094
1769100605.852051 0.109443 0.000007 0.004185
1769100605.951935 0.117695 0.000053 0.005952
1769100606.051953 0.126249 0.000131 0.004793
1769100606.152009 0.133235 0.000171 0.005012
1769100606.251960 0.142676 0.000197 0.005508
1769100606.351966 0.152192 0.000275 0.002934
1769100606.451954 0.161684 0.000303 0.000552
1769100606.551961 0.169378 0.000310 -0.001507
1769100606.652027 0.179022 0.000255 -0.000482
1769100606.751947 0.188513 0.000239 0.001985
1769100606.851944 0.196157 0.000234 0.004251
1769100606.951959 0.205851 0.000257 0.005980
1769100607.051964 0.213444 0.000328 0.006477
1769100607.151963 0.222910 0.000372 0.008058
1769100607.251974 0.232250 0.000422 0.008585
1769100607.351971 0.241766 0.000507 0.007797
1769100607.451965 0.249359 0.000535 0.009159
1769100607.551976 0.259179 0.000630 0.008439
1769100607.651974 0.269126 0.000712 0.006507
1769100607.751979 0.276972 0.000721 0.006524
1769100607.851953 0.286615 0.000774 0.007061
1769100607.951998 0.294208 0.000832 0.007356
1769100608.051976 0.303624 0.000880 0.009117
