timestamp x y theta
1769097853.530932 0.000000 0.000000 0.000001
1769097853.652647 0.000000 0.000000 -0.000001
1769097853.731583 0.000000 0.000000 -0.000002
1769097853.852674 0.000000 0.000000 -0.000003
1769097853.932205 0.000000 0.000000 -0.000004
1769097854.052662 0.000000 0.000000 -0.000002
1769097854.132859 0.000000 0.000000 -0.000001
1769097854.252652 0.000000 0.000000 -0.000001
1769097854.333486 0.000000 0.000000 0.000001
1769097854.452652 0.000000 0.000000 -0.000001
1769097854.534132 0.000000 0.000000 -0.000001
1769097854.652653 0.000000 0.000000 -0.000003
1769097854.734830 0.000000 0.000000 -0.000004
1769097854.852657 0.000025 -0.000000 -0.000047
1769097854.935468 -0.000000 0.000000 -0.000003
1769097855.052652 -0.000000 0.000000 -0.000003
1769097855.136161 -0.000000 0.000000 -0.000003
1769097855.252628 -0.000000 0.000000 -0.000003
1769097855.336802 -0.000000 0.000000 -0.000004
1769097855.452663 -0.000000 0.000000 -0.000004
1769097855.537492 -0.000000 0.000000 -0.000005
1769097855.652647 -0.000000 0.000000 -0.000005
1769097855.738182 -0.000000 0.000000 -0.000004
1769097855.852708 -0.000000 0.000000 -0.000003
1769097855.938821 -0.000000 0.000000 -0.000004
1769097856.052644 0.000025 -0.000000 -0.000062
1769097856.139452 -0.000000 0.000000 -0.000003
1769097856.252650 0.000051 -0.000000 -0.000847
1769097856.340117 0.000215 -0.000000 -0.002332
1769097856.452653 0.001190 -0.000003 -0.000746
1769097856.540856 0.002199 -0.000003 -0.000275
1769097856.652626 0.003012 -0.000003 0.000385
1769097856.741513 0.003619 -0.000004 0.001416
1769097856.852639 0.004961 -0.000003 0.001482
1769097856.942167 0.005656 -0.000002 0.002032
1769097857.052629 0.006176 -0.000002 0.003501
1769097857.142885 0.007717 0.000004 0.003578
1769097857.252655 0.008732 0.000007 0.004465
1769097857.343569 0.009669 0.000012 0.004098
1769097857.452627 0.011567 0.000018 0.004475
1769097857.544240 0.013462 0.000026 0.004765
1769097857.652716 0.015364 0.000035 0.005197
1769097857.744916 0.017276 0.000044 0.005436
1769097857.852656 0.019489 0.000056 0.006207
1769097857.945523 0.020400 0.000063 0.005832
1769097858.052717 0.023336 0.000083 0.005943
1769097858.146243 0.025349 0.000096 0.006293
1769097858.252649 0.027234 0.000112 0.005786
1769097858.346948 0.029351 0.000120 0.005279
1769097858.452655 0.032144 0.000135 0.005163
1769097858.547603 0.034540 0.000155 0.004659
1769097858.652651 0.037788 0.000172 0.003618
1769097858.748284 0.040836 0.000188 0.002999
1769097858.852657 0.044420 0.000195 0.001880
1769097858.949001 0.048931 0.000214 0.001265
1769097859.052657 0.053962 0.000233 -0.001053
1769097859.149622 0.060587 0.000223 -0.002245
1769097859.252696 0.068693 0.000207 -0.003161
1769097859.350391 0.075124 0.000176 -0.002913
1769097859.452677 0.084157 0.000146 -0.002209
1769097859.551018 0.093409 0.000148 -0.002250
1769097859.652706 0.103976 0.000150 0.000025
1769097859.751699 0.112121 0.000133 0.002921
1769097859.852685 0.122604 0.000185 0.002934
1769097859.952341 0.132961 0.000275 0.001468
1769097860.052710 0.143409 0.000306 0.000720
1769097860.152689 0.147484 0.000333 0.000934
1769097860.252685 0.162468 0.000388 -0.001088
1769097860.352718 0.173327 0.000347 -0.001789
1769097860.452711 0.183906 0.000346 -0.002550
1769097860.552694 0.192436 0.000237 -0.001191
1769097860.652695 0.202763 0.000186 0.002076
1769097860.752705 0.213241 0.000191 0.006884
1769097860.852711 0.221543 0.000283 0.009086
1769097860.952693 0.227719 0.000297 0.011847
1769097861.052700 0.242499 0.000458 0.013579
1769097861.152702 0.251154 0.000527 0.012835
1769097861.252701 0.257557 0.000646 0.010783
1769097861.352706 0.272389 0.000760 0.009559
1769097861.452708 0.283120 0.000834 0.008041
1769097861.552736 0.291903 0.000903 0.008110
1769097861.652720 0.302736 0.000887 0.010367
1769097861.752756 0.311239 0.001016 0.010507
1769097861.852708 0.321718 0.000983 0.014491
1769097861.952730 0.332246 0.001185 0.014390
1769097862.052712 0.340724 0.001242 0.017179
1769097862.152710 0.351303 0.001460 0.015254
1769097862.252737 0.362210 0.001681 0.013256
1769097862.352722 0.370967 0.001704 0.013611
1769097862.452730 0.381622 0.001868 0.009171
1769097862.552716 0.392076 0.001853 0.009187
1769097862.652721 0.402478 0.001893 0.011397
1769097862.752714 0.410881 0.001925 0.014046
1769097862.852716 0.421663 0.002059 0.017068
1769097862.952714 0.432367 0.002271 0.019272
1769097863.052801 0.440844 0.002553 0.017031
1769097863.152734 0.451195 0.002700 0.017559
1769097863.252732 0.461824 0.002896 0.016721
1769097863.352730 0.470478 0.003052 0.016536
1769097863.452813 0.481157 0.003303 0.013004
1769097863.552738 0.491914 0.003420 0.012787
1769097863.652773 0.502696 0.003494 0.013238
1769097863.752762 0.506973 0.003578 0.013257
1769097863.852731 0.521450 0.003748 0.014483
1769097863.952769 0.531724 0.003958 0.017399
1769097864.052748 0.539949 0.004108 0.019588
1769097864.152749 0.546525 0.004516 0.016047
1769097864.252725 0.544400 -0.008002 0.015273
1769097864.352728 0.535021 -0.022657 0.011357
1769097864.452737 0.540639 -0.024859 0.010629
1769097864.552742 0.551395 -0.024722 0.010285
1769097864.652722 0.562127 -0.024641 0.011384
1769097864.752747 0.570604 -0.024481 0.012957
1769097864.852772 0.581310 -0.024357 0.016380
1769097864.952749 0.591915 -0.024229 0.019682
1769097865.052737 0.600366 -0.024003 0.020631
1769097865.152742 0.610867 -0.023722 0.020471
1769097865.252748 0.621443 -0.023426 0.020630
1769097865.352765 0.625746 -0.023396 0.023318
1769097865.452740 0.641105 -0.023008 0.021171
1769097865.552752 0.652037 -0.022764 0.020952
1769097865.652804 0.660413 -0.022613 0.018994
1769097865.752751 0.670816 -0.022500 0.019853
1769097865.852740 0.681319 -0.022375 0.023816
1769097865.952769 0.689798 -0.022317 0.028892
1769097866.052767 0.700497 -0.021877 0.029527
1769097866.152757 0.711174 -0.021545 0.030187
1769097866.252755 0.719824 -0.021139 0.027179
1769097866.352776 0.730576 -0.020807 0.024693
1769097866.452770 0.741229 -0.020577 0.024350
1769097866.552761 0.745504 -0.020365 0.022789
1769097866.652764 0.760791 -0.020186 0.024278
1769097866.752762 0.771443 -0.019915 0.024748
1769097866.852852 0.779871 -0.019819 0.028130
1769097866.952764 0.790016 -0.019480 0.028779
1769097867.052768 0.800213 -0.019272 0.031592
1769097867.152782 0.810661 -0.018927 0.034385
1769097867.252777 0.818933 -0.018655 0.035747
1769097867.352770 0.829530 -0.018202 0.034718
1769097867.452770 0.840002 -0.017842 0.033778
1769097867.552812 0.850625 -0.017395 0.029369
1769097867.652766 0.859278 -0.017172 0.028195
1769097867.752776 0.869602 -0.016953 0.027424
1769097867.852865 0.880229 -0.016678 0.029303
1769097867.952855 0.888756 -0.016479 0.031805
1769097868.052829 0.899559 -0.016164 0.034878
1769097868.152778 0.910235 -0.015825 0.037500
1769097868.252778 0.918704 -0.015351 0.033010
1769097868.352773 0.929278 -0.014987 0.032169
1769097868.452802 0.939927 -0.014600 0.030934
1769097868.552778 0.948580 -0.014368 0.031001
1769097868.652776 0.959559 -0.014007 0.029485
1769097868.752790 0.970565 -0.013704 0.029060
1769097868.852786 0.979194 -0.013511 0.030164
1769097868.952803 0.989822 -0.013268 0.032020
1769097869.052793 1.000220 -0.012939 0.034857
1769097869.152790 1.008567 -0.012642 0.037885
1769097869.252788 1.019164 -0.012212 0.039716
1769097869.352817 1.029708 -0.011737 0.039621
1769097869.452804 1.038156 -0.011404 0.040099
1769097869.552823 1.048979 -0.010933 0.036877
1769097869.652819 1.059449 -0.010505 0.033296
1769097869.752829 1.068026 -0.010234 0.032171
1769097869.852822 1.057662 -0.016786 0.028627
1769097869.952803 1.047668 -0.026584 0.024628
1769097870.052807 1.049640 -0.029856 0.026160
1769097870.152794 1.057938 -0.029584 0.026778
1769097870.252795 1.068514 -0.029289 0.027745
1769097870.352802 1.078859 -0.028857 0.026018
1769097870.452818 1.087334 -0.028569 0.026606
1769097870.552798 1.097910 -0.028289 0.026683
1769097870.652801 1.108713 -0.027907 0.023742
1769097870.752808 1.119695 -0.027658 0.023209
1769097870.852807 1.128146 -0.027406 0.021425
1769097870.952888 1.138523 -0.027245 0.024552
1769097871.052809 1.148998 -0.026983 0.027931
1769097871.153421 1.159220 -0.026687 0.031753
1769097871.252834 1.167744 -0.026341 0.032908
1769097871.352827 1.178166 -0.025975 0.034956
1769097871.452813 1.188789 -0.025592 0.036069
1769097871.552847 1.197215 -0.025382 0.037782
1769097871.652853 1.207610 -0.024979 0.035201
1769097871.752863 1.218360 -0.024590 0.032862
1769097871.852861 1.229238 -0.024259 0.032493
1769097871.952856 1.237966 -0.024010 0.032019
1769097872.052854 1.248745 -0.023745 0.034116
1769097872.152813 1.257219 -0.023439 0.033707
1769097872.252818 1.267669 -0.023190 0.038573
1769097872.352821 1.278140 -0.022773 0.039647
1769097872.452844 1.288586 -0.022403 0.042247
1769097872.552833 1.297359 -0.021977 0.039005
1769097872.652822 1.308208 -0.021541 0.036580
1769097872.752834 1.316883 -0.021178 0.033230
1769097872.852838 1.327763 -0.020879 0.032111
1769097872.952825 1.338415 -0.020586 0.033184
1769097873.052835 1.348912 -0.020224 0.034664
1769097873.152833 1.357211 -0.019980 0.037961
1769097873.252829 1.367909 -0.019525 0.040302
1769097873.352832 1.378326 -0.019045 0.041869
1769097873.452863 1.386771 -0.018641 0.040806
1769097873.552853 1.397115 -0.018222 0.042507
1769097873.652857 1.407457 -0.017755 0.042301
1769097873.752837 1.416181 -0.017367 0.042537
1769097873.852923 1.422852 -0.016939 0.037912
1769097873.952912 1.437928 -0.016374 0.037472
1769097874.052841 1.446527 -0.016029 0.037171
1769097874.152841 1.457128 -0.015698 0.040347
1769097874.252844 1.467546 -0.015239 0.042319
1769097874.352858 1.475967 -0.014865 0.045761
1769097874.452850 1.486661 -0.014334 0.047688
1769097874.552851 1.497478 -0.013707 0.044962
1769097874.602301 1.501700 -0.013422 0.043259
1769097874.752880 1.516816 -0.012681 0.040173
1769097874.802976 1.521106 -0.012498 0.039580
1769097874.952857 1.536137 -0.011845 0.038697
1769097875.003677 1.542735 -0.011565 0.039057
1769097875.152862 1.557884 -0.010847 0.039418
1769097875.204315 1.562260 -0.010723 0.042615
1769097875.352865 1.576900 -0.009988 0.044763
1769097875.404967 1.581358 -0.009719 0.044912
1769097875.552868 1.581036 -0.023671 0.046600
1769097875.605573 1.582282 -0.028561 0.046693
1769097875.752890 1.597267 -0.027773 0.049185
1769097875.806185 1.601975 -0.027467 0.046662
1769097875.952872 1.616905 -0.026659 0.042316
1769097876.006908 1.621649 -0.026424 0.040683
1769097876.152877 1.635542 -0.025816 0.041935
1769097876.207582 1.642309 -0.025464 0.042190
1769097876.352864 1.656653 -0.024753 0.047074
1769097876.408255 1.661340 -0.024474 0.048448
1769097876.552885 1.675807 -0.023588 0.047959
1769097876.608880 1.680913 -0.023278 0.047246
1769097876.752898 1.695042 -0.022513 0.047080
1769097876.809581 1.701942 -0.022143 0.046288
1769097876.952866 1.716551 -0.021310 0.043108
1769097877.010188 1.721588 -0.021086 0.043557
1769097877.152876 1.736222 -0.020349 0.044664
1769097877.210910 1.741553 -0.020069 0.046038
1769097877.352877 1.755309 -0.019344 0.048815
1769097877.411440 1.762319 -0.018996 0.051777
1769097877.552888 1.776184 -0.018152 0.054837
1769097877.612041 1.781213 -0.017840 0.056085
1769097877.752918 1.795586 -0.016923 0.056269
1769097877.812652 1.797716 -0.016727 0.054323
1769097877.952879 1.815060 -0.015604 0.046818
1769097878.013304 1.822352 -0.015240 0.046436
1769097878.152889 1.836172 -0.014559 0.048285
1769097878.214020 1.841388 -0.014279 0.049252
1769097878.352898 1.855410 -0.013567 0.054848
1769097878.414716 1.857940 -0.013446 0.057206
1769097878.552901 1.874565 -0.012462 0.059635
1769097878.615449 1.881888 -0.011983 0.057983
1769097878.752896 1.895559 -0.011181 0.058780
1769097878.816075 1.900926 -0.010823 0.057130
1769097878.952894 1.914965 -0.010034 0.058307
1769097879.016807 1.921120 -0.009674 0.056867
1769097879.152904 1.934372 -0.008918 0.054773
1769097879.217406 1.941989 -0.008486 0.053518
1769097879.352866 1.955602 -0.007746 0.055496
1769097879.418082 1.960925 -0.007430 0.057015
1769097879.552926 1.974174 -0.006634 0.062006
1769097879.618661 1.981633 -0.006140 0.063367
1769097879.752908 1.995139 -0.005289 0.064648
1769097879.819372 2.000801 -0.004891 0.063956
1769097879.952911 2.014381 -0.003960 0.058736
1769097880.020051 2.020820 -0.003526 0.056023
1769097880.152924 2.033655 -0.002753 0.053399
1769097880.220705 2.041672 -0.002301 0.053220
1769097880.352910 2.055287 -0.001512 0.053847
1769097880.421331 2.061097 -0.001188 0.055398
1769097880.552929 2.074338 -0.000355 0.055953
1769097880.621932 2.078339 -0.000100 0.056928
1769097880.752927 2.093310 0.000831 0.059036
1769097880.822620 2.101331 0.001322 0.060292
1769097880.952916 2.114860 0.002184 0.059997
1769097881.023246 2.121026 0.002591 0.057543
1769097881.152925 2.121550 -0.016025 0.057331
1769097881.224018 2.120556 -0.026286 0.055971
1769097881.352937 2.133651 -0.025583 0.059360
1769097881.424664 2.140656 -0.025152 0.060646
1769097881.552980 2.152827 -0.024400 0.065569
1769097881.625406 2.160889 -0.023846 0.066478
1769097881.752938 2.173861 -0.022956 0.068679
1769097881.826036 2.180862 -0.022458 0.067251
1769097881.952922 2.192701 -0.021682 0.068912
1769097882.026828 2.201062 -0.021097 0.067964
1769097882.152944 2.214190 -0.020216 0.064828
1769097882.227498 2.218582 -0.019910 0.063446
1769097882.352958 2.233741 -0.018985 0.062668
1769097882.428182 2.240140 -0.018598 0.062980
1769097882.552940 2.252792 -0.017828 0.064714
1769097882.628801 2.260214 -0.017378 0.069029
1769097882.752957 2.271684 -0.016590 0.071194
1769097882.829363 2.277920 -0.016150 0.071952
1769097882.952955 2.292988 -0.015029 0.068876
1769097883.030098 2.300663 -0.014495 0.067685
1769097883.152969 2.312157 -0.013757 0.065840
1769097883.230747 2.321112 -0.013187 0.064721
1769097883.352959 2.333605 -0.012415 0.065682
1769097883.431429 2.340201 -0.012008 0.067230
1769097883.553038 2.352749 -0.011150 0.068457
1769097883.631979 2.360722 -0.010596 0.070300
1769097883.753040 2.371731 -0.009767 0.070057
1769097883.832663 2.380524 -0.009117 0.069366
1769097883.952972 2.392762 -0.008246 0.072626
1769097884.033346 2.399599 -0.007730 0.072363
